,languages
"French,English,Russian,Arabic,Japanese,",1
"French,Spanish,German,",1
"Korean,Russian,",1
"Hindi,English,Chinese,Spanish,",1
"Arabic,Dinka,English,Italian,",1
"Filipino,English,Tagalog,",1
"Hebrew,Russian,",1
"Czech,Romany,",1
"German,Swiss German,Turkish,English,Spanish,",1
"Maori,English,Samoan,Cantonese,",1
"Romansh,Swiss German,",1
"Turkish,English,Bulgarian,French,",1
"Galician,Spanish,German,English,Russian,",1
"Ukrainian,Italian,",1
"Cantonese,Mandarin,English,French,",1
"Mandarin,Czech,French,Japanese,English,Italian,",1
"Spanish,Albanian,",1
"Spanish,Chinese,English,Maori,French,",1
"English,Tamil,Urdu,",1
"English,Korean,German,",1
"Mandarin,Cantonese,Thai,English,Korean,",1
"Portuguese,Chinese,",1
"English,Portuguese,Russian,Spanish,",1
"Hokkien,Mandarin,",1
"Spanish,English,Arabic,Basque,",1
"Russian,Georgian,",1
"Chinese,Mandarin,Cantonese,",1
"Bosnian,Serbian,Croatian,English,",1
"English,Kurdish,French,Italian,Arabic,",1
"Polish,English,Yiddish,Russian,",1
"Norwegian,English,Swedish,German,",1
"French,Greek,English,",1
"German,Portuguese,English,French,Spanish,",1
"Swedish,Saami,",1
"Korean,French,",1
"French,English,Spanish,Arabic,",1
"Turkish,English,Bulgarian,",1
"Romanian,Turkish,Romany,",1
"English,French,Arabic,Spanish,Hebrew,",1
"German,French,Russian,Latvian,English,",1
"English,British Sign Language,Swahili,Somali,",1
"German,English,Chinese,Turkish,Polish,",1
"Maori,",1
"English,French,Cantonese,",1
"Cantonese,English,Thai,Polish,Mandarin,",1
"Spanish,English,Maya,Italian,",1
"Italian,Arabic,Kurdish,",1
"English,Chinese,Malay,",1
"Korean,English,Filipino,",1
"Japanese,Russian,",1
"Hindi,Malayalam,",1
"Hindi,Telugu,Tamil,",1
"French,German,Danish,English,",1
"French,Arabic,Bambara,English,Songhay,Tamashek,",1
"French,English,Spanish,Japanese,Arabic,Mandarin,",1
"French,English,German,Nepali,",1
"English,Punjabi,Hindi,Arabic,",1
"Cantonese,Mandarin,Tagalog,English,",1
"Turkish,Greek,French,",1
"Mandarin,Korean,",1
"Mandarin,Aboriginal,",1
"French,Macedonian,Turkish,",1
"Portuguese,French,English,Greek,Italian,",1
"Spanish,French,Galician,",1
"Burmese,Thai,",1
"Min Nan,",1
"Russian,Japanese,English,",1
"Bulgarian,Russian,Italian,English,",1
"English,Xhosa,Afrikaans,",1
"Japanese,English,French,Abkhazian,Spanish,German,Urdu,Korean,",1
"English,Russian,Arabic,",1
"Norwegian,Norse, Old,Swedish,",1
"Finnish,English,German,",1
"French,Danish,Flemish,",1
"French,Arabic,Italian,",1
"Danish,English,Somali,",1
"Neapolitan,",1
"Hindi,English,Marathi,Malayalam,",1
"English,Italian,Bosnian,",1
"Russian,Turkish,",1
"French,Mongolian,",1
"English,Persian,French,",1
"Japanese,Indonesian,English,French,",1
"Polish,Ukrainian,Russian,Yiddish,German,",1
"Min Nan,Chinese,",1
"Polish,English,German,",1
"English,Lithuanian,Russian,Hebrew,",1
"German,Mandarin,English,",1
"German,Polish,English,",1
"Italian,Sinhala,",1
"Thai,Lao,",1
"Catalan,Spanish,Mandingo,",1
"English,Aboriginal,French,",1
"French,English,Italian,Czech,",1
"Persian,English,Portuguese,",1
"English,Japanese,Latin,",1
"English,Swedish,German,Russian,",1
"English,Spanish,Italian,Russian,Basque,Arabic,",1
"English,Russian,Indonesian,Filipino,",1
"English,Russian,Sign Languages,",1
"English,Spanish,American Sign Language,Arabic,Somali,Spanish Sign Language,",1
"English,Korean,Spanish,",1
"English,Spanish,Icelandic,",1
"English,Greenlandic,",1
"English,French,Arabic,Turkish,",1
"English,Japanese,Italian,",1
"English,Polynesian,Spanish,",1
"Icelandic,English,Norwegian,",1
"English,Greek, Ancient (to 1453),",1
"English,Spanish,Portuguese,Mandarin,Tagalog,Russian,",1
"English,Mandarin,Thai,Japanese,",1
"Korean,English,Cantonese,",1
"English,Ukrainian,German,French,",1
"English,Thai,German,Swedish,",1
"English,French,German,Italian,Arabic,Spanish,",1
"English,Polish,Spanish,",1
"Russian,Armenian,",1
"Japanese,Chinese,",1
"English,Greek,German,Japanese,",1
"English,Portuguese,Tupi,Spanish,German,",1
"English,Arabic,Latin,",1
"English,Serbo-Croatian,Mandarin,French,",1
"English,Georgian,",1
"Dutch,English,Hindi,French,German,",1
"Hindi,Marathi,Gujarati,Tulu,English,",1
"Scots,English,French,",1
"English,German,Quechua,Spanish,",1
"Mandarin,Japanese,Min Nan,Shanghainese,",1
"English,French,Dutch,",1
"French,English,Arabic,Slovak,",1
"French,German,Italian,",1
"French,Swedish,",1
"Hindi,Tamil,English,",1
"Spanish,French,Italian,",1
"French,Spanish,Japanese,English,",1
"Portuguese,French,English,Italian,",1
"English,Norwegian,Spanish,French,",1
"Japanese,Japanese Sign Language,",1
"English,Hindi,Japanese,French,",1
"English,French,Italian,German,Romany,",1
"English,German,Russian,French,Spanish,",1
"English,Latin,Irish Gaelic,",1
"English,French,Italian,Turkish,",1
"Bulgarian,Russian,",1
"English,Hindi,Punjabi,",1
"French,English,Russian,Swahili,Danish,",1
"German,Hebrew,",1
"Spanish,Norwegian,",1
"Korean,Arabic,",1
"Polish,German,Yiddish,Ukrainian,Russian,",1
"Spanish,French,Afrikaans,",1
"Spanish,Romanian,French,English,",1
"Polish,Italian,Czech,",1
"Mandarin,Min Nan,English,",1
"Chaozhou,Mandarin,",1
"Malay,Mandarin,",1
"Spanish,French,Dutch,Mapudungun,",1
"Cantonese,Mandarin,English,Thai,Teochew,",1
"Arabic,English,Russian,",1
"English,Russian,Lithuanian,Polish,",1
"Urdu,Norwegian,",1
"Italian,English,Norwegian,",1
"English,Hungarian,Italian,",1
"English,Greek,French,German,",1
"Mandarin,Spanish,",1
"Japanese,English,Hindi,Tamil,Telugu,",1
"French,Tamil,",1
"French,English,Spanish,Chinese,Yiddish,",1
"Mandarin,Cantonese,Japanese,English,French,German,",1
"Russian,Ukrainian,Belarusian,",1
"Hindi,Bengali,",1
"Hindi,Kashmiri,",1
"German,English,Hebrew,Latin,",1
"Chinese,English,French,Russian,",1
"Danish,English,Dutch,",1
"German,English,Thai,",1
"Min Nan,Chinese,Mandarin,",1
"Portuguese,Arabic,",1
"French,Italian,Romanian,Arabic,",1
"Mandarin,Hindi,English,",1
"Persian,Arabic,",1
"English,French,Italian,Dutch,Spanish,Portuguese,",1
"French,German,Yiddish,Russian,",1
"Hindi,Gujarati,English,",1
"Kurdish,Persian,Turkish,English,",1
"German,English,French,Hebrew,Latin,",1
"French,Portuguese,English,Latin,",1
"English,Azerbaijani,Russian,",1
"Spanish,Wayuu,Basque,",1
"Czech,Russian,",1
"Arabic,Armenian,French,",1
"Mandarin,Min Nan,Hokkien,",1
"Guarani,Spanish,Portuguese,",1
"Portuguese,Italian,French,",1
"Slovenian,Hungarian,",1
"Japanese,Thai,",1
"German,French,Turkish,",1
"Korean,Japanese,Mandarin,Russian,German,English,",1
"English,German,Hungarian,Romanian,",1
"Rhaetian,",1
"Spanish,English,Icelandic,Portuguese,",1
"English,Filipino,Tagalog,Indonesian,",1
"Lithuanian,Russian,Estonian,",1
"Afrikaans,English,Tswana,",1
"French,Georgian,",1
"German,French,English,Dutch,",1
"German,Luxembourgish,",1
"Vietnamese,German,",1
"English,Mandarin,Malay,Cantonese,Tamil,",1
"French,Polish,English,",1
"Mandarin,Korean,Thai,",1
"Catalan,Spanish,Russian,",1
"Spanish,French,Catalan,English,",1
"Zulu,Xhosa,Sotho,English,",1
"Bulgarian,Japanese,Russian,English,",1
"Spanish,Quechua,English,",1
"Korean,Russian,English,",1
"Inuktitut,English,",1
"English,Portuguese,Swedish,",1
"French,Afrikaans,English,Dutch,",1
"French,English,Romanian,Italian,",1
"Hindi,Tamil,English,Marathi,",1
"French,German,Occitan,",1
"Hokkien,Shanghainese,Teochew,Mandarin,Cantonese,Hakka,",1
"Russian,English,Arabic,Turkish,Ukrainian,",1
"Norwegian,Saami,",1
"Hokkien,Mandarin,Malay,English,",1
"Slovak,English,Russian,",1
"Portuguese,Latin,",1
"Filipino,Tagalog,Portuguese,",1
"Slovak,Czech,Polish,German,Russian,",1
"English,Swedish,French,",1
"Turkish,Dutch,",1
"Italian,Sardinian,English,",1
"Dutch,French,Russian,Chinese,English,",1
"Korean,Japanese,English,Hindi,",1
"French,Arabic,Spanish,",1
"French,English,Polish,German,",1
"Korean,Japanese,Czech,English,",1
"Hindi,English,Marathi,Tamil,",1
"English,Norwegian,German,",1
"English,Italian,Greek,",1
"Greek,English,French,",1
"Spanish,Kriolu,Aragonese,",1
"English,German,Arabic,French,Portuguese,Russian,Slovak,",1
"English,Russian,Lithuanian,",1
"Hindi,English,German,",1
"Portuguese,English,Russian,French,",1
"French,English,Thai,",1
"Ukrainian,Russian,English,Crimean Tatar,",1
"French,Russian,German,Hungarian,English,Romanian,",1
"Romanian,English,Spanish,",1
"Italian,Neapolitan,French,",1
"Wayuu,Spanish,English,",1
"English,Mandarin,Japanese,German,",1
"Korean,English,German,Vietnamese,",1
"English,Vietnamese,Central Khmer,",1
"English,French,German,Latin,Italian,",1
"Spanish,Chinese,",1
"Central Khmer,English,Cantonese,Spanish,",1
"Norwegian,German,Danish,Swedish,English,",1
"German,English,Finnish,",1
"English,Chinese,Vietnamese,",1
"English,Arabic,Spanish,French,",1
"German,Hungarian,Hebrew,English,Yiddish,",1
"Czech,Spanish,English,",1
"Chinese,Korean,",1
"German,Arabic,Russian,Hebrew,",1
"German,English,French,Italian,Arabic,",1
"English,Cantonese,Japanese,",1
"Turkish,Armenian,",1
"Hindi,Tamil,Rajasthani,",1
"Spanish,German,Swiss German,French,Italian,",1
"German,English,Swahili,",1
"Estonian,German,Italian,",1
"Hungarian,German,English,",1
"Serbian,Bulgarian,French,",1
"Swedish,German,English,Spanish,French,Russian,",1
"English,Aboriginal,Pashtu,Punjabi,Cantonese,Dari,",1
"Flemish,Turkish,Dutch,",1
"Malay,Cantonese,Teochew,Mandarin,English,",1
"Galician,Portuguese,",1
"Ukrainian,Russian,Italian,",1
"Tamil,Spanish,Hindi,English,Basque,",1
"Hebrew,Spanish,English,",1
"Dutch,Sranan,",1
"Filipino,Tagalog,English,Korean,",1
"French,Dutch,English,",1
"German,English,Hebrew,",1
"Dutch,None,",1
"Afrikaans,English,Flemish,Dutch,",1
"German,Latvian,",1
"Portuguese,Spanish,Russian,",1
"Spanish,French,Italian,English,German,",1
"Italian,Punjabi,Russian,",1
"Latvian,Russian,",1
"Dutch,Flemish,French,",1
"German,French,English,Russian,",1
"Spanish,French,English,Tagalog,",1
"Bulgarian,Romany,",1
"French,English,Italian,Neapolitan,",1
"English,Dutch,Min Nan,Mandarin,",1
"Swiss German,German,English,",1
"German,German Sign Language,",1
"Polish,English,French,Russian,",1
"English,French,Romanian,Dutch,Mandarin,",1
"Danish,Arabic,English,",1
"Bhojpuri,Punjabi,Hindi,",1
"English,Danish,Italian,",1
"Estonian,Russian,German,",1
"Xhosa,Zulu,English,Afrikaans,",1
"Latin,",1
"English,Japanese,Hebrew,Portuguese,French,Arabic,Filipino,German,",1
"Tamil,French,English,",1
"English,French,Spanish,Catalan,",1
"English,French,Spanish,Ladino,Hebrew,Italian,Portuguese,Latin,",1
"Serbian,Bulgarian,",1
"English,French,Gaelic,",1
"English,Mandarin,French,Spanish,Russian,",1
"Mandarin,Turkish,",1
"French,Kabyle,English,",1
"English,French,Portuguese,",1
"German,Greek,",1
"Bulgarian,Turkish,German,Kurdish,",1
"English,Zulu,Xhosa,Afrikaans,",1
"French,Hebrew,Portuguese,Arabic,",1
"Dutch,French,English,German,Flemish,",1
"Swedish,Norwegian,German,English,",1
"Arabic,English,Turkish,",1
"Hindi,Russian,",1
"English,Burmese,",1
"English,Persian,Spanish,",1
"Korean,English,Tagalog,",1
"Danish,Italian,English,",1
"Hungarian,French,English,",1
"Mandarin,Chinese,Cantonese,English,",1
"Danish,English,Italian,",1
"Slovak,Czech,German,English,",1
"Cantonese,Korean,English,Mandarin,",1
"Polish,Russian,Ukrainian,German,",1
"Spanish,Bambara,French,",1
"Polish,Swedish,",1
"German,Spanish,Swiss German,",1
"Guarani,Spanish,",1
"French,Polish,Russian,",1
"Dutch,Russian,German,Polish,",1
"Portuguese,Italian,French,English,Spanish,",1
"English,German,Russian,Swedish,",1
"English,Spanish,Japanese,French,",1
"English,American Sign Language,French,",1
"English,Russian,German,Italian,",1
"English,Portuguese,Italian,",1
"English,French,Romanian,Latin,",1
"English,Spanish,Hebrew,Arabic,",1
"English,French,Chinese,",1
"English,Indonesian,French,",1
"English,Arabic,Albanian,Romanian,",1
"English,Xhosa,Zulu,French,Spanish,Hindi,",1
"English,German,Italian,French,Spanish,",1
"English,Japanese,Chinese,Spanish,",1
"English,Portuguese,Latin,",1
"English,Cantonese,Hindi,",1
"English,Persian,German,Arabic,",1
"English,Thai,Spanish,French,",1
"English,Welsh,Italian,Latin,Russian,Hungarian,",1
"English,French,Arabic,German,",1
"English,Japanese,Vietnamese,",1
"Hungarian,English,Russian,",1
"Serbian,English,Swedish,",1
"English,Arabic,Urdu,Pashtu,French,",1
"English,Spanish,German,Russian,",1
"Hindi,English,French,",1
"English,Russian,French,Arabic,Swedish,",1
"French,English,Sinhala,Norwegian,",1
"English,Spanish,Russian,German,",1
"English,Spanish,French,Afrikaans,Ukrainian,",1
"English,German,French,Chinese,",1
"English,Mandarin,French,Italian,German,Spanish,Korean,",1
"English,Russian,Italian,Mandarin,French,",1
"English,Japanese,Ukrainian,",1
"English,Thai,Arabic,Spanish,",1
"English,Japanese,Mandarin,",1
"English,Japanese,Cantonese,Mandarin,",1
"English,German,Chaozhou,Spanish,",1
"Korean,Korean Sign Language,",1
"Korean,Thai,English,Japanese,",1
"English,Polish,German,Arabic,Egyptian (Ancient),",1
"English,Egyptian (Ancient),",1
"English,Russian,Hungarian,French,Turkish,",1
"English,French,Turkish,Hebrew,Arabic,Spanish,",1
"English,Spanish,Norwegian,French,Korean,Greek,Vietnamese,",1
"English,Russian,French,Japanese,Italian,Dutch,Spanish,",1
"English,German,French,Spanish,Russian,",1
"Arabic,Amharic,",1
"Tamil,Malayalam,",1
